id_local,nom_lieu,ad_lieu,com_lieu,insee,date_maj,ouvert,source,Xlong,Ylat,num_dep,categorie_Aire de covoiturage
bfc_air_055,Salle des fêtes,2 Rue du Palais 25500 La Chenalotte,LA CHENALOTTE,25148.0,2020-10-27,TRUE,200053726.0,6.68648841982554,47.109,25,TRUE
bfc_air_056,Aire de covoiturage de Talant,22 Allïée Léon Soye 21240 Talant,TALANT,21617.0,2020-10-27,TRUE,200053726.0,4.99549915466344,47.341,21,TRUE
bfc_air_057,Aire de covoiturage de Varois Et Chaignot,1 Rue Albert Joliet 21490 Varois-et-Chaignot,VAROIS-ET-CHAIGNOT,21657.0,2020-10-27,TRUE,200053726.0,5.12530838310764,47.348,21,TRUE
bfc_air_058,Aire de covoiturage de Longvic,37B Route de Dijon 21600 Longvic,LONGVIC,21355.0,2020-10-27,TRUE,200053726.0,5.058015998658,47.291,21,TRUE
bfc_air_059,Rond-point D461 - D258,D258 25580 Etalans,ETALANS,25222.0,2020-10-27,FALSE,200053726.0,6.25508734746649,47.161,25,TRUE
bfc_air_060,Parking du stade Municipal de Guérigny,Pré du Marais Vauban,GUERIGNY,58131.0,2020-10-27,TRUE,200053726.0,3.19317143135053,47.09,58,TRUE
bfc_air_061,Aire de covoiturage de Sainte-Marie-Sur-Ouche,915 Rue de Bourgogne 21410 Sainte-Marie-sur-Ouche,SAINTE-MARIE-SUR-OUCHE,21559.0,2020-10-27,TRUE,200053726.0,4.8168198489001,47.298,21,TRUE
bfc_air_062,Parking Place Jean Sallonnyer,Place Jean Sallonnyer,CHATEAU-CHINON,58062.0,2020-10-27,TRUE,200053726.0,3.93608144573596,47.064,58,TRUE
bfc_air_063,Chapelle-Mijoux,N57 25300 La Cluse-et-Mijoux,MONTPERREUX,25405.0,2020-10-27,TRUE,200053726.0,6.36802304272893,46.831,25,TRUE
bfc_air_064,Rond point de Jougne,N57 25370 Les Hôpitaux-Neufs,LES HOPITAUX-NEUFS,25307.0,2020-10-27,TRUE,200053726.0,6.3812165094907,46.77,25,TRUE
bfc_air_065,Pont,2 Chemin des Santans 25190 Bief,NOIREFONTAINE,25426.0,2020-10-27,TRUE,200053726.0,6.77236383375212,47.327,25,TRUE
bfc_air_066,Mairie de Ville-du-Pont,Lieu-dit Ellais 5 25650 Ville-du-Pont,VILLE-DU-PONT,25620.0,2020-10-27,TRUE,200053726.0,6.4774314620543,47.003,25,TRUE
bfc_air_067,Salle des fêtes,17 Rue du Soleil Couchant 25130 Villers-le-Lac,VILLERS-LE-LAC,253210,2020-10-27,TRUE,200053726.0,6.67787351846512,47.06,25,TRUE
bfc_air_068,Arret de bus Mobidoubs,14 Clos du Moulin 25580 Nods,NODS,25424.0,2020-10-27,TRUE,200053726.0,6.3429630737986,47.097,25,TRUE
bfc_air_069,SALORNAY-SUR-GUYE,,SALORNAY-SUR-GUYE,71495.0,2020-10-27,TRUE,200053726.0,4.5976424231026,46.518,71,TRUE
bfc_air_070,SAINT-MARCELIN-DE-CRAY,,SAINT-MARCELIN-DE-CRAY,71446.0,2020-10-27,TRUE,200053726.0,4.53439863976489,46.577,71,TRUE
bfc_air_071,LORAY,,LORAY,25349.0,2020-10-27,FALSE,200053726.0,6.50010831234494,47.145,25,TRUE
bfc_air_072,NOEL-CERNEUX,,NOEL-CERNEUX,254250,2020-10-27,TRUE,200053726.0,6.66102162515314,47.103,25,TRUE
bfc_air_073,LES FINS,,LES FINS,25240.0,2020-10-27,TRUE,200053726.0,6.63512444723783,47.081,25,TRUE
bfc_air_074,LA CLUSE-ET-MIJOUX,,LA CLUSE-ET-MIJOUX,25157.0,2020-10-27,TRUE,200053726.0,6.37409024334145,46.867,25,TRUE
bfc_air_075,MORRE,,MORRE,25410.0,2020-10-27,FALSE,200053726.0,6.06619713809478,47.216,25,TRUE
bfc_air_076,BUSY,,BUSY,25103.0,2020-10-27,FALSE,200053726.0,5.96479324998751,47.176,25,TRUE
bfc_air_077,Champagnole,Route de Dole,POLIGNY,39434.0,2020-10-27,TRUE,200053726.0,5.69700240815735,46.849,39,TRUE
bfc_air_078,Champagnole,D23 rue Pasteur,MONTROND,39364.0,2020-10-27,TRUE,200053726.0,5.8377322642339,46.795,39,TRUE
bfc_air_079,Champagnole,Parking ATAC,CLAIRVAUX-LES-LACS,39154.0,2020-10-27,TRUE,200053726.0,5.74746988005055,46.579,39,TRUE
bfc_air_080,Champagnole,Mairie,PONT-DE-POITTE,39435.0,2020-10-27,TRUE,200053726.0,5.69598563214232,46.586,39,TRUE
bfc_air_081,Dole,Place de la Fontaine,GEVREY-CHAMBERTIN,21295.0,2020-10-27,TRUE,200053726.0,4.99595249611337,47.206,21,TRUE
bfc_air_082,Champagnole,Chemin de Verleule,ARBOIS,39013.0,2020-10-27,TRUE,200053726.0,5.76557557517688,46.901,39,TRUE
bfc_air_083,Dole,Rue de Courtefontaine,FRAISANS,39235.0,2020-10-27,TRUE,200053726.0,5.76199637468969,47.148,39,TRUE
bfc_air_084,Champagnole,Place de la mMairie,LA CHAPELLE-SUR-FURIEUSE,39103.0,2020-10-27,TRUE,200053726.0,5.85521128880686,46.995,39,TRUE
bfc_air_085,Dole,Rue de la Fontaine,RANS,39452.0,2020-10-27,TRUE,200053726.0,5.72687925574751,47.144,39,TRUE
bfc_air_086,Lons,Route de Conliège,PERRIGNY,39411.0,2020-10-27,TRUE,200053726.0,5.57338329370022,46.67,39,TRUE
bfc_air_087,Champagnole,Parking Grande Rue,COGNA,39156.0,2020-10-27,TRUE,200053726.0,5.75809882648147,46.581,39,TRUE
bfc_air_088,Dole,Place de la Liberté,RANCHOT,39451.0,2020-10-27,TRUE,200053726.0,5.7225579347847,47.149,39,TRUE
bfc_air_089,Lons,Route du Belvédère (face à l'Hostellerie des Mont-Jura),PANNESSIERES,39404.0,2020-10-27,TRUE,200053726.0,5.5974382174714,46.694,39,TRUE
bfc_air_090,Dole,Rue de Champvans,SAMPANS,39501.0,2020-10-27,TRUE,200053726.0,5.44961371718338,47.126,39,TRUE
bfc_air_091,Dole,Aéroport Dole-Jura,TAVAUX,39526.0,2020-10-27,TRUE,200053726.0,5.42429928634739,47.045,39,TRUE
